X,sin(x)
-8.0,-0.9893582823707693
-7.9,-0.9989414282341611
-7.800000000000001,-0.9985434260796092
-7.700000000000001,-0.9881682671107913
-7.600000000000001,-0.9679196848571842
-7.500000000000002,-0.9379999813661489
-7.400000000000002,-0.8987080951403552
-7.3000000000000025,-0.8504366204300807
-7.200000000000003,-0.7936678637974368
-7.100000000000003,-0.7289690401143454
-7.0000000000000036,-0.6569865987166787
-6.900000000000004,-0.5784397645110849
-6.800000000000004,-0.49411335115618277
-6.700000000000005,-0.4048499206182536
-6.600000000000005,-0.3115413635134639
-6.500000000000005,-0.21511998808490454
-6.400000000000006,-0.11654920485048803
-6.300000000000006,-0.01681390048435625
-6.200000000000006,0.08308940281748943
-6.100000000000007,0.18216250427144873
-6.000000000000007,0.27941549819894235
-5.9000000000000075,0.3738766648308838
-5.800000000000008,0.46460217942213394
-5.700000000000008,0.55068554266397
-5.6000000000000085,0.6312666378711826
-5.500000000000009,0.7055403255637067
-5.400000000000009,0.7727644875241554
-5.30000000000001,0.8322674420956677
-5.20000000000001,0.8834546552688823
-5.10000000000001,0.9258146855166226
-5.000000000000011,0.9589242838241214
-4.900000000000011,0.9824526369390345
-4.800000000000011,0.9961646691231801
-4.700000000000012,0.9999233723125448
-4.600000000000012,0.9936910520556379
-4.500000000000012,0.977530136885057
-4.400000000000013,0.9516020809983609
-4.300000000000013,0.9161659391710347
-4.2000000000000135,0.8715757720794818
-4.100000000000014,0.818277110972379
-4.000000000000014,0.7568024952859483
-3.900000000000014,0.6877661591795862
-3.800000000000014,0.61185789094203
-3.700000000000014,0.5298361409496617
-3.600000000000014,0.44252044329956414
-3.5000000000000138,0.35078322768994663
-3.4000000000000137,0.255541102012696
-3.3000000000000136,0.1577456941430889
-3.2000000000000135,0.058374143427593485
-3.1000000000000134,-0.04158066243327706
-3.0000000000000133,-0.14112000805979089
-2.9000000000000132,-0.2392493292062468
-2.800000000000013,-0.33498815015607747
-2.700000000000013,-0.42737988023693363
-2.600000000000013,-0.5155013718508585
-2.500000000000013,-0.5984721442934212
-2.400000000000013,-0.6754631805478549
-2.3000000000000127,-0.7457052121597064
-2.2000000000000126,-0.8084964037464506
-2.1000000000000125,-0.8632093663775037
-2.0000000000000124,-0.9092974259330409
-1.9000000000000123,-0.9463000936551909
-1.8000000000000123,-0.973847647223359
-1.7000000000000122,-0.9916648520941351
-1.600000000000012,-0.9995737026856508
-1.500000000000012,-0.997495056414081
-1.400000000000012,-0.9854497584416826
-1.3000000000000118,-0.9635581962685434
-1.2000000000000117,-0.9320390897985391
-1.1000000000000116,-0.8912073595102191
-1.0000000000000115,-0.8414709846480743
-0.9000000000000116,-0.7833269095868277
-0.8000000000000116,-0.7173560908907289
-0.7000000000000116,-0.6442176872361477
-0.6000000000000116,-0.5646424734857239
-0.5000000000000117,-0.47942553861642606
-0.4000000000000117,-0.3894183423097111
-0.3000000000000117,-0.2955202066613952
-0.2000000000000117,-0.19866933079366228
-0.10000000000001169,-0.09983341664683697
-1.1685097334179773E-14,-1.1546319456101628E-14
